shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2021-01-27,864.1599731445312,-6.19000244140625,835.4299926757812,15.42999267578125,1,0,1830,112,34,3,7,11,6,1,7,4,7,4,6,10,5,1,5,1,2,1,3,1,0,1,0,1,2,6,11,2,0,3,36,10,18,1,0,2,2,0,1,1,0,5,7,0
2021-01-28,835.4299926757812,15.42999267578125,793.530029296875,-36.469970703125,0,1,1911,119,60,1,6,16,7,5,2,7,7,3,3,1,4,5,1,1,5,0,0,1,0,4,0,0,2,13,15,2,0,10,25,12,37,1,1,8,2,1,5,3,0,6,2,0
2021-01-29,793.530029296875,-36.469970703125,839.8099975585938,25.52001953125,1,0,1697,85,64,2,3,17,13,8,2,3,15,5,3,3,3,2,4,2,4,0,0,4,1,1,2,2,3,21,20,1,0,5,22,14,21,9,0,11,2,0,3,5,0,9,3,2
2021-02-01,839.8099975585938,25.52001953125,872.7899780273438,28.1099853515625,1,1,1598,113,60,2,9,40,5,7,2,4,9,22,2,7,4,2,3,1,1,0,2,0,0,0,4,1,6,11,5,2,0,10,33,11,15,2,1,10,2,0,2,6,0,3,1,1
2021-02-02,872.7899780273438,28.1099853515625,854.6900024414062,-22.33001708984375,0,1,1671,85,44,3,16,26,6,9,8,3,8,13,2,2,1,4,3,1,5,1,1,5,0,2,0,1,6,23,12,2,0,3,30,9,16,1,2,9,7,0,1,4,0,6,1,0
2021-02-03,854.6900024414062,-22.33001708984375,849.989990234375,-5.010009765625,0,0,1060,59,44,6,7,30,6,7,0,1,5,20,1,0,1,1,2,1,1,0,2,0,0,1,1,2,3,11,8,5,0,3,6,4,8,1,3,5,5,0,0,4,0,23,2,0
2021-02-08,863.4199829101562,-6.25,849.4600219726562,-5.65997314453125,0,0,728,11,3,0,8,1,1,1,1,1,0,0,2,1,2,0,2,0,1,0,0,0,0,0,0,0,4,5,6,1,0,3,7,3,5,0,1,1,3,0,1,0,0,0,0,0
2021-02-09,849.4600219726562,-5.65997314453125,804.8200073242188,-38.82000732421875,0,0,765,21,5,4,3,2,3,2,1,1,2,0,1,1,2,1,4,0,1,0,1,0,0,0,0,0,5,4,6,2,1,1,6,8,2,0,1,3,1,0,1,0,0,0,0,0
2021-02-10,804.8200073242188,-38.82000732421875,811.6599731445312,-0.780029296875,0,0,1333,31,7,8,4,5,2,4,7,1,2,1,4,4,0,1,8,0,0,0,4,4,0,0,2,0,12,9,9,2,1,1,10,16,6,0,1,3,3,1,0,3,0,1,0,0
2021-02-11,811.6599731445312,-0.780029296875,816.1199951171875,14.8599853515625,1,0,1471,41,4,6,6,5,5,6,2,1,4,2,3,7,2,1,5,1,2,2,1,1,0,2,2,1,7,11,6,4,0,1,8,7,6,0,3,5,1,1,0,2,0,1,0,0
2021-02-16,796.219970703125,-21.780029296875,798.1500244140625,19.05999755859375,1,0,217,7,0,2,1,0,0,0,3,0,0,1,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,2,2,0,2,0,2,2,2,1,0,0,1,0,1,0,0,0,0,0
2021-02-17,798.1500244140625,19.05999755859375,787.3800048828125,6.47998046875,1,1,454,13,2,5,2,2,4,0,0,1,2,1,0,2,2,1,2,0,1,0,0,0,0,1,0,1,2,2,6,1,2,0,3,3,2,0,0,0,0,0,1,2,0,0,0,0
2021-02-18,787.3800048828125,6.47998046875,781.2999877929688,-13.70001220703125,0,1,619,14,2,4,2,1,2,1,1,1,2,1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,4,3,2,0,0,1,0,0,0,3,0,1,1,0
2021-02-19,781.2999877929688,-13.70001220703125,714.5,-48.1400146484375,0,0,556,25,5,6,2,2,2,1,1,3,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,2,5,0,0,2,4,5,3,0,0,1,0,0,0,0,0,0,0,0
2021-02-22,714.5,-48.1400146484375,698.8400268554688,36.71002197265625,1,0,1456,22,3,13,8,0,10,1,4,2,9,0,5,4,2,3,2,1,3,5,0,1,0,0,1,3,2,2,9,1,1,0,7,9,9,0,2,1,0,1,0,7,0,0,2,1
2021-02-23,698.8400268554688,36.71002197265625,742.02001953125,30.1700439453125,1,1,2290,33,9,15,11,5,11,1,3,7,12,1,8,5,4,6,2,0,3,2,2,1,0,4,2,2,7,5,8,3,1,0,12,10,23,1,4,5,1,9,0,15,0,0,0,0
2021-02-24,742.02001953125,30.1700439453125,682.219970703125,-43.9300537109375,0,1,1423,51,8,5,13,5,7,4,3,3,6,6,3,2,3,0,2,2,2,0,1,1,0,2,2,1,6,3,5,2,0,3,12,6,8,0,1,1,2,0,2,5,1,0,0,0
2021-02-25,682.219970703125,-43.9300537109375,675.5,-24.5,0,0,1225,48,17,5,8,8,4,6,4,5,5,4,2,1,1,2,1,1,4,0,1,1,0,2,1,1,5,2,10,1,2,2,21,6,13,1,0,0,1,3,0,6,0,1,0,0
2021-02-26,675.5,-24.5,718.4299926757812,28.32000732421875,1,0,1086,32,11,2,6,6,6,6,2,1,4,1,1,5,3,1,2,1,1,0,1,0,0,2,0,0,4,2,8,1,3,5,6,8,18,0,4,4,1,1,0,7,0,0,0,0
2021-03-02,686.4400024414062,-31.84002685546875,653.2000122070312,-34.78997802734375,0,0,416,18,2,3,6,1,2,1,2,0,2,2,2,1,0,0,3,6,0,0,1,0,0,0,0,2,1,2,4,0,0,0,5,1,1,0,0,1,0,1,1,1,0,0,0,0
2021-03-03,653.2000122070312,-34.78997802734375,621.4400024414062,-34.3599853515625,0,0,1003,30,5,3,0,2,3,8,1,0,3,0,1,1,4,0,1,1,2,0,0,4,0,0,0,0,4,10,6,2,0,1,12,2,6,0,2,0,0,1,0,3,0,0,0,0
2021-03-04,621.4400024414062,-34.3599853515625,597.9500122070312,-28.1099853515625,0,0,1171,16,5,7,10,3,4,0,1,2,3,0,4,4,2,0,3,1,4,1,1,1,0,0,1,0,6,4,7,2,3,0,5,7,12,2,3,3,1,8,1,5,0,0,0,0
2021-03-05,597.9500122070312,-28.1099853515625,563.0,-37.54998779296875,0,0,56,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-03-08,563.0,-37.54998779296875,673.5800170898438,65.4000244140625,1,0,1014,12,2,6,5,2,1,0,7,3,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,2,3,1,8,2,0,2,1,3,11,1,2,0,2,1,1,1,0,0,0,0
2021-03-09,673.5800170898438,65.4000244140625,668.0599975585938,-32.239990234375,0,1,1712,48,11,13,20,3,18,6,3,5,13,1,3,1,4,0,3,1,1,0,1,0,0,1,2,4,13,5,14,4,0,1,15,10,16,1,0,3,1,1,1,3,0,1,0,0
2021-03-10,668.0599975585938,-32.239990234375,699.5999755859375,0.199951171875,1,0,1238,34,18,6,10,4,9,6,2,3,6,3,1,3,0,0,1,1,0,0,1,2,0,0,0,3,6,6,8,4,0,5,10,3,14,2,1,3,2,1,1,3,0,2,0,0
2021-03-11,699.5999755859375,0.199951171875,693.72998046875,23.72998046875,1,1,890,32,9,6,1,4,3,4,0,2,3,1,1,1,2,2,2,2,1,0,2,1,0,0,2,1,3,4,4,2,1,2,10,2,8,0,1,1,2,0,0,1,0,0,0,0
2021-03-12,693.72998046875,23.72998046875,707.9400024414062,13.8499755859375,1,1,745,22,2,2,6,2,1,4,1,2,2,0,3,3,0,2,0,0,0,0,1,1,0,0,0,1,4,4,5,0,0,0,4,0,2,0,0,3,1,1,0,1,0,0,0,0
2021-03-15,707.9400024414062,13.8499755859375,676.8800048828125,-26.469970703125,0,1,498,17,3,4,2,0,2,1,2,0,3,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,0,5,0,6,0,0,0,0,0,0,1,0,0,0,0
2021-03-16,676.8800048828125,-26.469970703125,701.8099975585938,44.94000244140625,1,0,566,3,3,2,1,4,2,2,4,1,1,1,0,0,1,1,1,0,2,0,0,1,0,0,0,0,4,2,3,0,0,0,7,4,7,0,0,3,1,6,0,0,0,0,1,1
2021-03-17,701.8099975585938,44.94000244140625,653.1599731445312,-31.1300048828125,0,1,355,8,1,2,2,1,4,1,1,2,2,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2,3,4,1,0,0,0,1,3,0,0,1,1,3,0,1,0,0,0,0
2021-03-29,611.2899780273438,-4.35003662109375,635.6199951171875,33.8699951171875,1,0,622,8,2,4,3,0,3,1,0,0,2,0,3,3,2,1,2,2,1,1,1,1,0,0,0,0,5,2,4,3,0,2,4,0,0,0,4,0,0,0,0,3,0,0,0,0
2021-03-30,635.6199951171875,33.8699951171875,667.9299926757812,21.30999755859375,1,1,803,19,1,6,10,1,4,0,1,2,3,1,0,2,1,1,0,0,2,0,0,0,1,0,0,0,3,2,3,1,1,0,8,2,4,0,2,2,0,0,0,0,0,0,0,0
2021-03-31,667.9299926757812,21.30999755859375,661.75,-26.6199951171875,0,1,693,13,2,4,4,1,4,1,0,1,4,0,3,1,1,1,3,1,1,0,1,3,0,2,2,1,2,3,11,0,2,2,3,1,3,0,0,1,0,0,1,1,0,0,0,0
